Id,Date,From,To,D/C,Amount,Narration
173,2021-9-22,Swags,Bank of Baroda,Credit,800.0,Tango Card Exchanged
175,2021-9-22,Swags,Uber Cash,Credit,1000.0,Pagerduty Swag
179,2021-10-4,Swags,Uber Cash,Credit,1000.0,Pagerduty
181,2021-10-6,Swags,Bank of Baroda,Credit,1500.0,TrustRadius-Zoho Review
183,2021-10-6,Swags,Bank of Baroda,Credit,139.0,TrustRadius-Zoho Review
201,2021-10-16,Swags,Bank of Baroda,Credit,1869.52,3 Capterra Review
220,2021-11-1,Swags,Uber Cash,Credit,1872.1,Wandisco Event
223,2021-11-4,Swags,Bank of Baroda,Credit,780.0,Dev API 15$ Tango
225,2021-11-5,Swags,Bank of Baroda,Credit,3984.0,Dynatrace 60$ Visa
230,2021-11-9,Swags,Bank of Baroda,Credit,200.0,5$ Starbucks
231,2021-11-10,Swags,Bank of Baroda,Credit,400.0,Two 5$ Starbucks
234,2021-11-11,Swags,Bank of Baroda,Credit,274.0,5$ Mastercard
235,2021-11-12,Swags,Bank of Baroda,Credit,1200.0,25$ Amazon GC
241,2021-11-25,Swags,Bank of Baroda,Credit,771.0,Austin 15$ Tango
242,2021-11-26,Swags,Amazon Pay Wallet,Credit,1500.0,Cohesity Event
